chemical formula,saturation magnetization,compoundradix,stoicentw,Zw,periodw,groupw,meltingTw,miedemaH,valencew,electronegw
Al4 Co2 N6,0.36585609927429985,3.0,1.0114042647073518,25.819545256666665,2.6666666666666665,13.333333333333332,637.3983333333333,-90.55555555555556,4.333333333333333,2.37
Al4 Cr2 N6,0.5293018441473829,3.0,1.0114042647073518,24.663372856666665,2.6666666666666665,12.833333333333332,706.065,-99.22222222222221,4.5,2.333333333333333
Al4 Cr4 N8,0.7903913140020208,3.0,1.0397207708399179,26.7479246425,2.75,12.25,809.9425000000001,-102.0,4.75,2.3375
Al4 Fe2 N6,0.8757924152897893,3.0,1.0114042647073518,25.30487952333333,2.6666666666666665,13.166666666666666,644.565,-92.77777777777777,4.5,2.361666666666667
Al4 Fe5 Rh1,0.566986500203871,3.0,0.9433483923290393,49.005765628000006,3.7,10.100000000000001,1502.5880000000002,-14.920000000000002,4.800000000000001,1.7870000000000001
Al4 Ni15,0.2631320737029159,2.0,0.5146531654289292,52.01725022526316,3.7894736842105265,10.631578947368421,1560.7305263157896,-14.626038781163434,3.7894736842105265,1.8468421052631578
Al4 Ni2 N6,0.18164976747311726,3.0,1.0114042647073518,25.77958619,2.6666666666666665,13.5,630.7316666666667,-89.22222222222221,4.166666666666666,2.375
Al4 V4 N8,0.5173000203240846,3.0,1.0397207708399179,26.4842621425,2.75,12.0,810.6925000000001,-121.5,4.5,2.33
Ba1 Fe2 N2,0.4966655064655249,3.0,1.054920167986144,55.406420000000004,3.6000000000000005,9.6,949.6600000000001,-111.68000000000004,4.800000000000001,2.1260000000000003
Ba1 Mn2 Ge2,0.6011690484558269,3.0,1.054920167986144,78.49307772,4.4,8.8,1292.16,-31.200000000000003,4.8,1.602
Ba1 Mn2 N2,0.4928526251812181,3.0,1.054920167986144,55.04355772,3.6000000000000005,9.200000000000001,832.86,-134.72000000000003,5.2,2.0140000000000002
Ba1 Mn2 Sb2,0.6648646303609812,3.0,1.054920167986144,98.14479772,4.800000000000001,9.200000000000001,1169.112,-20.800000000000004,5.2,1.618
Ba1 Mn2 Sn2,0.6773998723860063,3.0,1.054920167986144,96.92503772,4.800000000000001,8.8,1009.6320000000001,-11.520000000000003,4.8,1.582
Ba1 Mn28,0.19860023291298945,2.0,0.14999492361041503,57.77906691034483,4.06896551724138,6.827586206896552,1501.1034482758623,3.8620689655172415,6.827586206896552,1.527241379310345
Ba1 N1,0.24838868621488078,2.0,0.6931471805599453,75.66735,4.0,8.5,531.575,-212.0,3.5,1.965
Ba12 Fe8 N16,0.29798977382482006,3.0,1.0608569471580214,64.41127777777777,3.7777777777777777,9.11111111111111,763.8444444444444,-149.037037037037,4.222222222222222,2.0544444444444445
Ba2 Cr1 N2,0.20098960413059866,3.0,1.054920167986144,70.93311200000001,4.0,8.0,861.26,-153.92000000000004,4.0,1.9040000000000001
Ba2 Fe24,1.511070096288619,2.0,0.2711893730418441,62.113084615384615,4.153846153846154,7.538461538461539,1748.6153846153848,10.50887573964497,5.6923076923076925,1.7576923076923079
Ba2 Mg12 Cr2,0.24044586612678528,3.0,0.7356219397587946,41.8942325,3.5,2.5,1089.75,10.625,2.5,1.30125
Ba2 Mg12 Mn2,0.22382700718331658,3.0,0.7356219397587946,42.2619680375,3.5,2.625,1007.125,4.0625,2.625,1.2875
Ba2 Mg12 V2,0.19736937306817212,3.0,0.7356219397587946,41.762401249999996,3.5,2.375,1090.125,10.6875,2.375,1.2974999999999999
Ba2 Mn2 Bi4,0.3713460889758166,3.0,1.0397207708399179,152.556636575,5.5,9.75,902.1,-25.25,4.75,1.62
Ba2 Mn2 Ge2,0.5821692188851298,3.0,1.0986122886681098,88.2988481,4.666666666666666,7.666666666666666,1243.4666666666667,-29.333333333333336,4.333333333333333,1.4833333333333332
Ba2 Mn2 Sb4,0.38975810482349293,3.0,1.0397207708399179,108.946486075,5.0,9.75,1081.6399999999999,-34.25,4.75,1.6349999999999998
Ba2 Mn4 N4,0.49296816741619215,3.0,1.054920167986144,55.04355772,3.6000000000000005,9.200000000000001,832.86,-134.72000000000003,5.2,2.0140000000000002
Ba2 Ni1 N2,0.21359176535439375,3.0,1.054920167986144,72.272568,4.0,8.8,770.86,-157.76000000000005,3.6,1.9540000000000002
Ba2 Pd1 N2,0.19833763448765582,3.0,1.054920167986144,81.81808000000001,4.2,8.8,790.87,-175.36000000000004,3.6,2.012
Ba3 Mn1,0.25610507395581883,2.0,0.5623351446188083,116.730286075,5.5,3.25,1129.75,21.75,3.25,1.055
Ba3 Mo1,0.18888782560010148,2.0,0.5623351446188083,126.98352499999999,5.75,3.0,1474.0,54.75,3.0,1.2075
Ba3 Nb1,0.2299096537405588,2.0,0.5623351446188083,126.22236799999999,5.75,2.75,1437.5,60.75,2.75,1.0675000000000001
Ba4 Ca16 Co8 N16,0.2194185514513392,4.0,1.2636544318820964,42.866880800000004,3.454545454545455,8.0,840.7818181818182,-152.79338842975207,3.6363636363636367,1.8918181818181818
Ba4 N8,0.6158685481821105,2.0,0.6365141682948129,55.113899999999994,3.333333333333333,10.666666666666666,375.4333333333333,-188.44444444444443,4.0,2.3233333333333333
Be1 Co1,0.2610869984963478,2.0,0.6931471805599453,33.972688775,3.0,5.5,1664.0,-4.0,3.5,1.725
Be1 Cr1 Fe2,0.23086796026873202,3.0,1.0397207708399179,43.174685787499996,3.5,6.0,1840.5,-4.25,5.0,1.7225000000000001
Be1 Fe1 Co2,0.18366815897927688,3.0,1.0397207708399179,45.680942987499996,3.5,7.0,1726.75,-3.5,4.5,1.79
Be1 Fe1 Rh2,1.01070711407173,3.0,1.0397207708399179,67.6670967875,4.0,7.0,1961.25,-6.5,5.0,1.99
Be1 Fe2 Si1,0.3666230917176669,3.0,1.0397207708399179,37.1968957875,3.25,8.0,1717.25,-23.25,4.5,1.7825
Be1 Fe3,2.020599478210339,2.0,0.5623351446188083,44.1369457875,3.5,6.5,1748.25,-3.0,5.0,1.7650000000000001
Be1 Ni3,0.3126197711151434,2.0,0.5623351446188083,46.2731257875,3.5,8.0,1686.0,-3.0,3.5,1.825
Be1 V1 Co2,0.2847351572306376,3.0,1.0397207708399179,44.4550204875,3.5,6.25,1819.75,-13.0,4.25,1.74
Be1 V1 Fe2,0.27765633389500616,3.0,1.0397207708399179,42.9110232875,3.5,5.75,1841.25,-9.5,4.75,1.715
Be12 Cr1,0.20713095197349687,2.0,0.2711893730418441,12.31864290769231,2.153846153846154,2.307692307692308,1607.6923076923076,-1.9881656804733727,2.307692307692308,1.576923076923077
Be2 Co1,0.32263027696073365,2.0,0.6365141682948129,25.65252023333333,2.6666666666666665,4.333333333333333,1629.3333333333333,-3.5555555555555554,3.0,1.6733333333333333
Be3 Co1,0.34913132177900663,2.0,0.5623351446188083,21.4924359625,2.5,3.75,1612.0,-3.0,2.75,1.6475
Be3 Fe1,0.593726069322417,2.0,0.5623351446188083,20.7204373625,2.5,3.5,1622.75,-3.0,3.0,1.635
Be4 Al1 Cr1,0.5956897089263693,3.0,0.8675632284814613,19.171071861666665,2.5,4.500000000000001,1558.9116666666666,-4.222222222222221,2.833333333333333,1.5916666666666666
Be4 Al1 Fe1,0.21081141933505268,3.0,0.8675632284814613,19.812578528333333,2.5,4.833333333333334,1497.4116666666666,-3.0,2.833333333333333,1.6199999999999999
Be5 Fe1,0.41756975117272527,2.0,0.45056120886630463,16.817685958333332,2.3333333333333335,3.0,1601.8333333333333,-2.2222222222222223,2.6666666666666665,1.6133333333333333
Be8 Fe4,0.9468296132289574,2.0,0.6365141682948129,24.623188766666665,2.6666666666666665,4.0,1643.6666666666665,-3.5555555555555554,3.333333333333333,1.6566666666666667
Br1,0.22310630352778654,1.0,-0.0,79.904,4.0,17.0,265.8,0.0,7.0,2.96
Ca1 Al8 Fe4,0.3575648376540178,3.0,0.8587409130062867,36.870116043076926,3.384615384615385,10.615384615384617,1217.4430769230771,-9.75147928994083,3.8461538461538463,1.6307692307692307
Ca1 Cr2 N2,0.30938602699552264,3.0,1.054920167986144,34.416944,3.2,8.8,1120.26,-120.64000000000001,4.800000000000001,2.08
Ca1 Cu2 N2,0.26013836634645077,3.0,1.054920167986144,39.037000000000006,3.2,10.8,791.368,-122.24000000000001,4.0,2.176
Ca1 Fe2 N2,0.4953269243712384,3.0,1.054920167986144,35.95656,3.2,9.6,972.6600000000001,-112.00000000000003,4.800000000000001,2.148
Ca1 Fe2 Si2,0.19623132539509788,3.0,1.054920167986144,41.58776,3.6,9.200000000000001,1622.2000000000003,-30.720000000000013,4.4,1.692
Ca1 Mg1 Ni4,0.18713490302885016,3.0,0.8675632284814613,49.85952666666667,3.833333333333333,7.333333333333333,1491.6666666666665,-5.555555555555555,3.333333333333333,1.6583333333333332
Ca1 Mn1 Fe1 Ge2,0.503325139723488,4.0,1.3321790402101223,59.22464886,4.0,9.0,1373.5600000000002,-27.040000000000003,4.6000000000000005,1.6800000000000002
Ca1 Mn10 N8,1.033227137020804,3.0,0.8569977547780645,36.921833842105265,3.1578947368421053,10.105263157894736,884.7473684210526,-121.196675900277,5.894736842105263,2.148421052631579
Ca1 Mn2 Bi2,0.7459277566521368,3.0,1.054920167986144,113.58305812,4.800000000000001,9.200000000000001,1048.48,-9.92,5.2,1.6280000000000001
Ca1 Mn2 Ge2,0.918282977861932,3.0,1.054920167986144,59.04321772,4.0,8.8,1315.16,-33.120000000000005,4.8,1.624
Ca1 Mn3 Al9,0.2844738458788187,3.0,0.7902679680745903,34.440490771538464,3.3076923076923075,10.769230769230768,1082.5561538461538,-15.053254437869825,3.8461538461538463,1.5492307692307694
Ca1 Mn4 Al8,0.4354546314016257,3.0,0.8587409130062867,36.5909912123077,3.384615384615385,10.307692307692308,1127.5969230769233,-16.378698224852073,4.153846153846154,1.5446153846153847
Ca1 N1,0.36954443964729755,2.0,0.6931471805599453,27.0427,3.0,8.5,589.075,-201.0,3.5,2.02
Ca1 Ni5,0.3493375792721279,2.0,0.45056120886630463,55.59093333333334,4.0,8.666666666666668,1625.8333333333333,-3.8888888888888893,3.666666666666667,1.7583333333333333
Ca1 Ni5 H1,0.21040571130583544,3.0,0.7963116401738131,47.793371428571426,3.5714285714285716,7.571428571428572,1395.57,-16.0,3.2857142857142856,1.8214285714285714
Ca10 Co2 N8,0.20463987397849495,3.0,0.9433483923290392,31.53531944,3.2,7.9,759.56,-172.4,3.5,1.9040000000000001
Ca10 Fe2 N8,0.2748108418409233,3.0,0.9433483923290392,31.22652,3.2,7.800000000000001,763.86,-169.72000000000003,3.6,1.8990000000000002
Ca10 Mn2 N8,0.21019925248896396,3.0,0.9433483923290392,31.13580443,3.2,7.7,734.66,-176.04,3.7,1.8710000000000002
Ca10 Mn2 Pb6,0.20666205852899408,3.0,0.9368883075390159,97.44000492222223,4.666666666666667,6.555555555555555,988.4255555555555,-32.79012345679013,3.2222222222222223,1.3511111111111112
Ca12 Cr24 N48,0.26149907319250176,3.0,0.9556998911125343,28.585531428571425,2.8571428571428568,10.571428571428571,818.2285714285714,-129.30612244897958,4.857142857142857,2.354285714285714
Ca12 Mn8 N16,0.3346294738441464,3.0,1.0608569471580214,31.793254288888885,3.111111111111111,8.88888888888889,737.2888888888888,-160.49382716049382,4.444444444444445,2.028888888888889
Ca16 Cr16 N32,0.4316599121417452,3.0,1.0397207708399179,30.02214,3.0,9.5,855.325,-144.5,4.5,2.185
Ca16 V16 N32,0.2094024215932828,3.0,1.0397207708399179,29.7584775,3.0,9.25,856.075,-161.0,4.25,2.1775
Ca2 B4 H16,0.2512217890792489,3.0,0.7595473914748635,6.342036363636365,1.4545454545454546,3.272727272727273,538.6290909090909,-10.975206611570249,1.4545454545454546,2.061818181818182
Ca2 Co1 N2,0.4476974373647867,3.0,1.054920167986144,33.42079888000001,3.2,8.6,824.86,-152.00000000000003,3.8000000000000003,1.9920000000000002
Ca2 Cr2 N4,0.4361513807940211,3.0,1.0397207708399179,30.02214,3.0,9.5,855.325,-144.5,4.5,2.185
Ca2 Mg12 Cr2,0.26963628036413345,3.0,0.7356219397587946,29.73807,3.25,2.5,1104.125,9.125,2.5,1.315
Ca2 Mg12 Mn2,0.23681168347414827,3.0,0.7356219397587946,30.1058055375,3.25,2.625,1021.5,2.6875,2.625,1.30125
Ca2 Mg12 V2,0.2146112604925643,3.0,0.7356219397587946,29.60623875,3.25,2.375,1104.5,9.125,2.375,1.3112499999999998
Ca2 Mn2 Ge2,0.43989530528508736,3.0,1.0986122886681098,55.88241476666666,4.0,7.666666666666666,1281.8,-32.0,4.333333333333333,1.5199999999999998
Ca2 Mn2 N4,0.7926667795631934,3.0,1.0397207708399179,30.757611075,3.0,9.75,690.075,-155.25,4.75,2.1574999999999998
Ca2 Mn2 Sb4,0.41089115502387513,3.0,1.0397207708399179,84.634161075,4.5,9.75,1110.3899999999999,-31.75,4.75,1.6624999999999999
Ca2 Mn2 Si2,0.39239072815723425,3.0,1.0986122886681098,41.033814766666666,3.666666666666666,7.666666666666666,1440.3333333333333,-34.22222222222222,4.333333333333333,1.4833333333333332
Ca2 Mn2 Sn2,0.5966123209575848,3.0,1.0986122886681098,71.24238143333334,4.333333333333333,7.666666666666666,1046.36,-14.666666666666666,4.333333333333333,1.5033333333333332
Ca2 Ni10,0.28027745316429037,2.0,0.45056120886630463,55.59093333333334,4.0,8.666666666666668,1625.8333333333333,-3.8888888888888893,3.666666666666667,1.7583333333333333
Ca2 Ni10 H1,0.22668283067113348,3.0,0.6870920273799715,51.39224615384616,3.7692307692307696,8.076923076923077,1501.8453846153848,-10.934911242603551,3.461538461538462,1.7923076923076924
Ca20 Co8 N16,0.2386408508166662,3.0,1.0361987848192837,34.026035345454545,3.2727272727272725,8.0,851.2363636363636,-152.06611570247932,3.6363636363636362,1.9018181818181819
Ca20 Fe8 N16,0.3499645835911982,3.0,1.0361987848192837,33.46458181818182,3.2727272727272725,7.818181818181818,859.0545454545455,-147.63636363636363,3.8181818181818183,1.8927272727272728
Ca3 Mn1,0.4386039640564248,2.0,0.5623351446188083,43.793311075000005,4.0,3.25,1216.0,14.25,3.25,1.1375
Ca3 V1,0.3585055218569178,2.0,0.5623351446188083,42.7941775,4.0,2.75,1382.0,33.0,2.75,1.1575
Ca4 Co2 N4,0.30513301470039605,3.0,1.054920167986144,33.42079888000001,3.2,8.6,824.86,-152.00000000000003,3.8000000000000003,1.9920000000000002
Ca4 Fe2 N4,0.3013622484799747,3.0,1.054920167986144,32.803200000000004,3.2,8.4,833.46,-148.48000000000002,4.0,1.9820000000000002
Ca4 Mg4 Fe3,0.232727283636484,3.0,1.0900596587107838,38.64265454545455,3.6363636363636362,3.6363636363636362,1235.0,13.884297520661155,3.090909090909091,1.339090909090909
Ca4 Mn4 Sb8,0.4057455620244096,3.0,1.0397207708399179,84.634161075,4.5,9.75,1110.3899999999999,-31.75,4.75,1.6624999999999999
Ca4 Ni14,0.20365080623016174,2.0,0.5297061990576545,54.55676444444445,4.0,8.222222222222221,1591.7777777777778,-4.839506172839506,3.5555555555555554,1.7077777777777776
Ca6 Cr4 N8,0.2720018467818263,3.0,1.0608569471580214,31.13950222222222,3.111111111111111,8.666666666666666,884.1777777777777,-150.12345679012344,4.222222222222222,2.0533333333333332
Ca6 Cu2 N6,0.2074295411417928,3.0,1.0042424730540764,32.2575,3.142857142857143,8.857142857142856,698.8885714285714,-171.4285714285714,3.571428571428571,2.0028571428571427
Ca6 Fe2 N6,0.31557168191296725,3.0,1.0042424730540764,31.157342857142854,3.142857142857143,8.428571428571429,763.6357142857142,-162.85714285714283,3.8571428571428568,1.9928571428571427
Ca6 Fe6 N10,0.2420542991378429,3.0,1.0670895187820832,32.5278,3.090909090909091,9.545454545454545,826.7045454545455,-135.37190082644628,4.454545454545454,2.1536363636363633
Ca6 Mn2 N6,0.21714005606969955,3.0,1.0042424730540764,31.027749185714285,3.142857142857143,8.285714285714285,721.9214285714286,-172.16326530612244,3.9999999999999996,1.9528571428571428
Ca6 Mn4 N8,0.20508468723783008,3.0,1.0608569471580214,31.793254288888885,3.111111111111111,8.88888888888889,737.2888888888888,-160.49382716049382,4.444444444444445,2.028888888888889
Ca6 W2,0.23031494286487308,2.0,0.5623351446188083,76.01905000000001,4.5,3.0,1760.0,42.75,3.0,1.3399999999999999
Ca7 Mn2 N6,0.38274584920041993,3.0,0.9908353864438492,31.631125906666668,3.2,7.866666666666667,748.1266666666667,-170.73777777777778,3.8666666666666667,1.8893333333333335
Ca8 Fe3 N8,0.30467711762172284,3.0,1.0198652142779299,31.590463157894735,3.1578947368421053,8.421052631578947,782.0105263157894,-159.0249307479224,3.894736842105263,1.99
Ca8 Mn2 N8,0.2559233540694104,3.0,0.9649629230074277,30.142182699999996,3.111111111111111,8.333333333333332,692.3999999999999,-178.5679012345679,3.8888888888888884,1.9677777777777776
Ca8 Mn4 N12,0.2293523499763346,3.0,1.0114042647073518,29.51930738333333,3.0,9.333333333333334,656.4083333333333,-169.44444444444443,4.333333333333333,2.111666666666667
Cd1 Co3 N1,0.6745335637475081,3.0,0.9502705392332346,60.64419664,3.8,10.8,1192.2740000000001,-47.68000000000001,4.4,2.074
Cd1 N1,0.4000572069538588,2.0,0.6931471805599453,63.2107,3.5,13.5,328.685,-91.0,3.5,2.365
Cd12 Ni12,0.20901399471696325,2.0,0.6931471805599453,85.55392,4.5,11.0,1161.1100000000001,2.0,3.0,1.7999999999999998
Cd2 N2,0.40903821131732804,2.0,0.6931471805599453,63.2107,3.5,13.5,328.685,-91.0,3.5,2.365
Cd3 Fe1,0.40511198645151786,2.0,0.5623351446188083,98.2721,4.75,11.0,898.415,12.75,3.0,1.725
Co1,1.8898265165031898,1.0,-0.0,58.9331944,4.0,9.0,1768.0,0.0,5.0,1.88
Co1 Au3,0.33352360382472523,2.0,0.5623351446188083,162.458225725,5.5,10.5,1444.9975,5.25,5.0,2.375
Co1 Au4,0.2419113429595553,2.0,0.5004024235381879,169.35989448,5.6000000000000005,10.600000000000001,1423.464,4.48,5.0,2.4080000000000004
Co1 Cu2 Sn1,0.22307530922658445,3.0,1.0397207708399179,76.1841236,4.25,11.25,1247.155,6.5,4.25,1.91
Co1 H1,1.3242598923994882,2.0,0.6931471805599453,29.9705972,2.5,5.0,890.995,-23.0,3.0,2.04
Co1 Hg3,0.20140446484444952,2.0,0.5623351446188083,165.1775236,5.5,11.25,617.7407499999999,9.0,4.25,1.97
